title	titleId	plot_key1	plot_key2	plot_key3	plot_key4	plot_key5	stage
Max Knight: Ultra Spy	tt0237446	artificial intelligence	sexy woman	scantily clad female	reference to sailor moon	NA	
Fortress 2: Re-Entry	tt0179183	punishment	domed city	breasts	buttocks	female nudity	
A.I. Artificial Intelligence	tt0212720	artificial intelligence	mother son relationship	synthetic human	artificially created boy	cyberpunk	
Black River	tt0280241	writer	small town	surveillance	conspiracy	voice over narration	
Jason X	tt0211443	female doctor	autopsy	slasher killer	serial teen murderer	good versus evil	
How to Make a Monster	tt0281919	psychotronic film	female nudity	nipple	exo suit	NA	
2001: HAL's Legacy	tt0303589	computer	chess	artificial intelligence	computer science	technology	
The Time Machine	tt0268695	time travel	post apocalypse	abduction	bowler hat	marriage proposal	
Terminal Error	tt0283542	two word title	automation	explosion	nuclear power plant	traffic light	
Storm Watch	tt0311866	weather manipulation	television reporter	computer	hacker	artificial intelligence	
Dopamine	tt0342300	falling in love	love	independent film	united states	female nudity	
The Matrix Reloaded	tt0234215	oracle	prophecy	stylized violence	chosen one	alternate reality	
Terminator 3: Rise of the Machines	tt0181852	time travel	skynet	humanoid	exploding truck	nuclear launch	
The Matrix Revolutions	tt0242653	good versus evil	2200s	human versus machine	one against many	virtual reality	
Julie and Jack	tt0358551	underground film	online dating	dating	NA	NA	
I, Robot	tt0343818	humanoid 	human versus machine	artificial intelligence	grandmother	dystopia	
The Incredibles	tt0317705	superhero family	superhero	strong female character	good versus evil	NA	
Game Box 1.0	tt0414036	virtual reality	video game	trapped in a video game	computer	NA	
Stealth	tt0382992	long haired woman	stealth	aircraft cockpit	missile attack	captain	
A Sound of Thunder	tt0318081	time travel	time machine	based on short story	evolution	butterfly	
A.I. Assault	tt0468547	robot 	desert	hand grenade	energy beam weapon	boeing 747	
The Last Mimzy	tt0768212	female protagonist	toy	soundwave	strong female	new line cinema	
Nuclear Hurricane	tt1033492	disaster film	hurricane	nuclear power plant	artificial intelligence	computer	
The Last Sentinel	tt0758762	underwater scene	soldier	bettle	hand to hand combat	cult film	
Ocean's Thirteen	tt0496806	revenge	casino	heist	comeuppance	hubris	
Transformers	tt0418279	transformers	belly button	evil alien robot	product placement	aline contact	
Iron Man	tt0371746	billionaire	inventor	robot suit	marvel universe	based on comic	
The Chinese Room	tt1326199	spying	philosophy	office	low budget	linguistics	
Babylon A.D.	tt0364970	genetic	veteran turned mercenary	cult film	road movie	armored car	
Eagle Eye	tt1059786	audio surveillance	artificial intelligence	geopolitical	regime change	school bus	
Battle Planet	tt1016024	spacesuit	power suit	artificial intelligence	fictional war	space war	
Moon	tt1182345	moon	solitude	memory	cult film	human clone	
Echelon Conspiracy	tt1124039	casino 	security camera	echelon	surveillance	super computer	
Terminator Salvation	tt0438488	kidnapping	pregnant woman	suspense	terminal illness	prisoner	
9	tt0472033	post apocalypse	alternate history	character name as title	artificial intelligence	machine	
Astro Boy	tt0375568	character name as title	astro boy	troubled production	gender in title	psychotronic film	
Iron Man 2	tt1228705	superhero	billiionaire	power suit	based on comic bood	marvel universe	
Thor	tt0800369	loki character	scientist	marvel universe	nick fury character	clint barton	
Terminator the Second	tt10510546	pc	computer	african american	jacket	NA	
Ra.One	tt1562871	father son relationship	regeneration	india	current	train	
Robot & Frank	tt1990314	burglary	robot	dementia	thief	safecracker	
The Advengers	tt0848228	superhero	marvel universe	avenger	alien invasion	s.h.i.e.l.d	
Altered States of Plaine	tt1597176	forced drug use	child jeopardy	new york city	imagination	pay phone	
Total Recall	tt1386703	false memory	implanted memory	remake	based on short story	vehicle	
Resident Evil: Retribution	tt1855325	action heroine	zombie	female protagonist	post apocalypse	umbrella	
Battlestar Galactica: Blood & Chrome	tt1704292	military	space marines	artificial intelligence	robot rebellion	starship name in title	
Oblivion (I)	tt1483013	post apocalypse	alien invasion	dystopian	2070s	alien	
Iron Man 3	tt1300854	terrorist	billiionaire	human bomb	armor	rescue	
Your Friends Close	tt2232464	friendship	ensemble	nerd	drug use	mind game	
Man of Steel	tt0770828	superhero	reboot	clark kent	origin of hero	NA	
Pacific Rim	tt1663662	kaiju	human piloted robot	ocean	apocalypse	human versus monster	
The Zero Theorem	tt2333804	burnt out church	telephone call	cuyberspace	hormonal paradigm shift	smashing a computer screen	
Her	tt1798709	loneliness	romance with artificial intelligence	divorce	future	artificial intelligence	
Free Birds	tt1621039	animal in title	1620s	time machine	dog	pizza	
Echo Dr.	tt2343473	tech noir	android	home invasion	security system	artificial intelligence	
Ex. Machina	tt0470752	artificial intelligence	turning test	minimal cast	robot	robot human relationship	
RobotCop	tt1234721	robot	technology	robotcop	police	NA	
Captain America: The Winter Soldier	tt1843866	conspiracy	heroism	assassin	world domination	bionic arm	
Transcendence	tt2209764	scientist	artificial intelligence	technology	power outage	mind upload	
X-Men: Days of Future Past	tt1877832	time travel	supernatural power	super strength	time paradox	dystopia	
Transformers: Age of Extinction	tt2109248	blockbuster	based on tv series	snow adventure	truck	texas	
Project Cora	tt4017972	robot	artificial intelligence	scene during end credits			
Big Hero 6	tt2245084	robot	superhero	funeral	martial arts	teenage	
Interstellar	tt0816692	saving the world	astronaut	space travel	father daughter relationship	wormhole	
Nightmare Code	tt2848252	artificial intelligence	nipple piercing	female nudity	NA	NA	
Vice	tt3480796	machine gunned	fantasy fulfillment	man hits a woman	shot multiple times	strangled	
Uncanny	tt2321502	cell phone photograph	eduction	psychotronic film	man wears eyeglasses	woman hugs a man	
Chappie	tt1823672	robot	artificial intelligence	future	mind uploading	consciousness	
Avengers: Age of Ultron	tt2395427	superhero	marvel universe	artificial intelligence	hallucination	superhero team	
Tomorrowland	tt1964418	time travel	futuristic city	future	inventor	pin	
Larry Gaye: Renegade Male Flight Attendant	tt2547172	name in title	new york city	manhattan	male flight attendant	sex scene	
Terminator Genisys	tt1340138	cyborg	future 	time machine	human versus cyborg	human versus robot	
Hardcore Henry	tt3072482	point of view	cyborg	violence	telekinesis	moscow 	
Hacked	tt4362644	artificial intelligence	mana	NA	NA	NA	
Batman v Superman: Dawn of Justice	tt2975590	superhero	dc universe	based on comic book	sequel	revenge	
Operator (II)	tt5052524	one word title	drinking while pregnant	high tech	fisherman	female protagonist	
Captain America: Civil War	tt3498820	marvel universe	based on comic book	superhero	siberia	friendship between man	
Cyborg X	tt3899262	bare chested male bondage	fight	humanity	mahcinery	brink of extinction	
Infinity Chamber	tt3839880	artificial intelligence	prison	camera	computer	room	
Independence Day: Resurgence	tt1628841	alien	alien invasion	mothership	independence day	human versus alien	
Morgan	tt4520364	humanoid 	biosynthetic creature	interrogation	violence	metaphor	
Rogue Warrior: Robot Fighter	tt4937114	dystopia	human verses robot	writer director producer	written by director	artificial intelligence	
Surge of Power: Revenge of Sequel	tt1989632	town	superhero	home town	arch enemy	NA	
Rogue One: A Star Wars Story	tt3748528	star wars	death star	space opera	darth vader 	jyn erso	
The Gods Obscure	tt7588802	artificial intelligence	NA	NA	NA	NA	
Marjorie Prime	tt4978710	dog pound	repeated dialogue	running on a beach	future	old woman	
The Lego Batman Movie	tt4116284	lego	batmobile	dc comics	based on comic book	batman	
Magellan	tt5361488	space adventure	space	rocket launcher	begins with freedman dyson quotation	saturn v rocket	
Ghost in the Shell	tt1219827	cyberpunk	cyborg	humanoid	based on manga	based on anime	
Beta	tt2976766	probation	ankle monitor	house arrest	artificial intelligence	drug problem	
Alien: Covenant	tt2316204	xenomorph	android	alien	future	satsis	
Spider-Man: Homecoming	tt2250912	marvel universe	superhero	reboot	spider man	avenger	
Valerian and the City of a Thousand Planets	tt2239822	government agent	alien creature as pet	future	alien	augmented reality	
Armed Response	tt4557208	proximity detector	prison	sensory deprivation	video playback	bicycle accident	
Singularity	tt7312940	robot	artificial intelligence	psychotronic film	NA	NA	
The Sex Robots Are Coming	tt7722506	robot	sex	artificial intelligence	NA	NA	
Torrent	tt3116476	artificial intelligence	paranoia				
Letter to a Young Planet	tt7776140	artificial intelligence	philosophy	space			
Upgrade	tt6499752	microchip	dystopia	revenge	surgery	artificial intelligence	
Pacific Rim: Uprising	tt2557478	sequel	robot	giant robot	mecha	mount fuji	
Zoe	tt6010628	artificial intelligence	addiction	brothel	robot	memory	
F.R.E.D.I.	tt6146590	robot	artificial intelligence				
Tau	tt4357394	artificial intelligence	smart house	computer programmer	computer controlled house	kidnapping	
Extinction	tt3201640	reference to stephen hawking	invasion	massacre	electromagnetic pulse	gunfight	
Twisted Pair	tt8196068	directed by star	twins	two word title	sneaking		
Spider-Man: Into the Spider-Verse	tt4633694	multiverse	teenage superhero	wisecrack humor	posthumous cameo	miles morales	
Singularity	tt5969004	future	artificial intelligence				
Making Friends	tt7354736	robot	artificial intelligence				
This Is A.I.	tt8597908	artificial intelligence					
Captain Marvel	tt4154664	superhero	stan lee	cat	nick fury	1990s	
Auggie	tt7596220	one word title	name in title	augmented reality	marital fidelity	early retirement	
The Directive	tt5834278	robot	virus	viral infection	sickness		
Surfer's Paradise	tt6919914	artificial intelligence					
CyberWork and the American Dream	tt9030132	robot	artificial intelligence	future			
Avengers: Endgame	tt4154796	time travel	superhero	super villain	cosmoic	marvel universe	
Child's Play	tt8663516	tied feet	creepy doll	chucky character	killer doll	horror icon	
Spider-Man: Far From Home	tt6320628	marvel universe	vacation	superhero	sequel	spider man	
Fast & Furious Presents: Hobbs & Shaw	tt6806448	samoa	flamethrower	fast and furious franchise	spin off	shared universe	
Doom: Annihilation	tt8328716	based on video game	hell	gun	space marine	zombie	
Jexi	tt9354944	male nudity	dick pic	digital assistant	mobile phone		
Terminator: Dark Fate	tt6450804	time travel	sequel	robot	terminator	mexico	
Altered Carbon: Resleeved	tt9310328	cyberpunk	weapon	tattoo artist	weapon fire		
Archive	tt6882604	dead wife	husband wife relationship	artificial intelligence	remote laboratory	fatal car accident	
Hard Kill	tt11656172	terrorist	2020	christmas	artificial intelligence	limousine	
Existence	tt10288242	transcendence	consciousness	artificial intelligence	soul		
Bigfoot vs the Illuminati	tt12969650	robot	artificial intelligence				
Legal ThreaT	tt4265536	artificial intelligence	satire	allegory			
Superintelligence	tt7178640	life	singing in a car	artificial intelligence	seattle washington	tesla car	
Songbird	tt12592252	delivery man	pandemic	quarantine	courier	drone	
Sustainable Life with Unlimited Transformations	tt13642786	artificial intelligence					
Outside the Wire	tt10451914	pilot	android	female soldier	robot	explosion	
Crossword Mysteries: Terminal Descent	tt9759902	elevator	supercomputer	father son relationship	artificial intelligence	murder	
Zack Snyder's Justice League	tt12361974	superhero	extended version	dc universe	dc comics	badass	
Godzilla vs. Kong	tt5034838	monster versus monster	kaiju	godzilla character	king kong	monsterverse	
Swerv the Movie	tt15243636	artificial intelligence	superhero	rock music	art house		
Space Jam: A New Legacy	tt3554046	real person becomes animated	rabbit	duck	monster	pig	
Free Guy	tt6264654	video game world	video game character	artificial intelligence	bank robbery	virtual reality	
Zone 414	tt8545482	female nudity	artificial intelligence	cyberpunk	tech noir		
Implanted	tt9786896	artificial intelligence					
One 2 Zero	tt5044910	artificial intelligence	company				
Phase Q	tt7806964	love	virtual reality	artificial intelligence	mental illness	truth	
Don't Look Up	tt11286314	meteorite	asteroid	meteor strike	american female politician		
The Matrix Resurrections	tt10838180	fourth part	matrix	war against machines	self referential	simulation	
There Are Five of Me	tt10679978	mad scientist	existential crisis	psychedelic	adolescent	teenager	
Moonfall	tt5834426	disaster film	moon	disaster	rocket	meteor strike	
AI Love You	tt11182810	artificial intelligence	future	technology	love		
Dark Cloud	tt8130518	rehabilitation	reference to indianna jones	night	sister sister relationship	shower	
Paulie Go!	tt14555908	robot	artificial intelligence	teen comedy	road trip comedy	teenage	
Wifelike	tt15978956	robot	artificial intelligence	female nudity	male nudity		
Cipher	tt9742960	artificial intelligence					
Margaux	tt14967618	artificial intelligence	group of friends	rented house	college friends	smart house	
Lissa's Trip	tt15360566	psychedelic	artificial intelligence	deep dream	guerilla	odyssey	
Life Cycle	tt24251838	animatronic	robot	artificial intelligence	emotional	cat	
Black Panther: Wakanda Forever	tt9114286	sequal	wakanda	maya civilization	superhero	marvel universe	
M3GAN	tt8760708	artificial intelligence	orphaned girl	robot	aunt niece relationship	death of parents	
Operation Fortune: Ruse de Guerre	tt7985704	undercover	woman in red dress	red lips	spy	terrorist	
Van Helsing	tt27713536	name in title	year 2022	post apocalypse	dystopia		
Motion Detected	tt13399128	security camera	artificial intelligence	glitch			
Spider-Man: Across the Spider-Verse	tt9362722	marvel universe	based on comic	second part	multiverse	spider man	
Mission Impossible - Dead Reckoning Part One	tt9603212	spy	sequel	ethan hunt	one person army action	secret agent	
Heart of Stone	tt13603966	spy	female	agent			
Bootyology	tt15028214	artificial intelligence					
The Creator	tt11858890	artificial intelligence	life	space	galaxy		
M3GAN 2.0	tt26342662	sequel	character name as title	robot	doll		pre-production
Atlas	tt14856980	artificial intelligence	soldier	intergalactic	military		post-production
We Put the World to Sleep	tt10069050	filmmaking	artificial intelligence	mockumentary	found footage	technological singularity	post-production
Faster, Cheaper, Better	tt12561064						announced
Neuromancer	tt1037220						announced
Fantastic	tt29538167	artificial intelligence					post-production
Untitled Artificial Intelligence Courtroom Project	tt7158286						announced
Capsule	tt7720792						announced
Metal Men	tt1002541						announced
I Have Dominion	tt13028250						announced
Dragonriders of Pern	tt0808236						announced
Vulcan's Hammer	tt15906976						announced
Early Stage	tt12615844	artificial intelligence	data center	anthology film	hurricane		post-production
Wingman	tt7596338						announced
Human, Anew	tt7322442						announced
Daemon	tt1355626						announced
LITU	tt7074866						announced
Halfway Home	tt6054582						announced
Echo	tt9679378						announced
I-Volution	tt3392980						announced
Artificial	tt6851104						announced
Integrating Anna	tt11146576						announced
Holograms	tt7660886						announced
Construct	tt9143014	robot	artificial intelligence	father			complted
Purple Jill	tt4839958	color in title	two word title	artificial intelligence			pre-production
The Inside World	tt16385328	artificial intelligence					complted
Within 	tt9145178	artificial intelligence	coming of age	hawaii	kauai	transcension theory	pre-production
Deep Echo	tt15791776						announced
Diaspora	tt7311348						announced
Sepulchar 7	tt11152176						announced
Elle	tt4852906						announced
Extraction	tt12199714						announced
Frozen Soil	tt10399530						announced
Spherical	tt19114810						announced
III	tt18342818						announced
Girl Without End	tt15340236	artificial intelligence	no budget	woman	girl power	family relationship	complted
Sara	tt20770436						announced
Laverna	tt15258062						announced
The Ultimate Lifehack	tt11790116						announced
Bioman2045	tt4809242						announced
Last	tt8097228						announced
The Singularity War	tt6123464						
Cras Langley	tt20896388						announced
Henrik Yde's Auto	tt14772982						announced
Dreamhaus	tt14107874						announced
Robot Child	tt13820700						announced
I Am A.I.	tt6484312						announced
Fontana	tt20781502						announced
P.A.I.N	tt20435340						announced
La Luna	tt13677512						announced
Day I See You	tt7737464						announced
An Emerald Grove	tt8829854						announced
Edifice	tt16430588						announced
Epi and the X-Finder	tt15016922						announced
Just Being Human	tt16234990	artificial intelligence					filming
